"strain","num_nodes","mean_diameter","sd_diameter","n","se_diameter","ci_lower","ci_upper"
"Petite",1030,17.4566666666667,0.741589783446299,300,0.0428157061100997,17.3724083683106,17.5409249650227
"Petite",1035,17.48,0.728952150321401,300,0.0420860720214417,17.3971775702146,17.5628224297854
"Petite",1040,17.49,0.733731016117881,300,0.0423619799668436,17.4066346027829,17.5733653972171
"Petite",1045,17.5033333333333,0.729219738473129,300,0.0421015212305849,17.4204805005909,17.5861861660758
"Petite",1050,17.5133333333333,0.729105069862054,300,0.0420949008352378,17.4304935290633,17.5961731376034
"Petite",1055,17.53,0.737731313988227,300,0.0425929372720719,17.4461800950496,17.6138199049504
"Petite",1060,17.5433333333333,0.732514491659055,300,0.0422917438944657,17.4601061557669,17.6265605108998
"Petite",1065,17.57,0.730441750245475,300,0.0421720741131566,17.4870083241467,17.6529916758533
"Petite",1070,17.5766666666667,0.729769896997747,300,0.0421332846478135,17.493751325753,17.6595820075803
"Petite",1075,17.5833333333333,0.729036260038134,300,0.0420909280982015,17.5005013471304,17.6661653195363
"Petite",1080,17.5966666666667,0.736521396916574,300,0.0425230826773703,17.5129842306457,17.6803491026876
"Petite",1085,17.6133333333333,0.724964920536793,300,0.0418558692024953,17.5309639265052,17.6957027401615
"Petite",1090,17.6166666666667,0.724434196624985,300,0.0418252278431605,17.5343575598787,17.6989757734547
"Petite",1095,17.6366666666667,0.720916980795677,300,0.0416221612925756,17.5547571805684,17.718576152765
"Petite",1100,17.64,0.720274938216008,300,0.0415850929469553,17.5581634617988,17.7218365382012
"Petite",1105,17.65,0.7228936649578,300,0.0417362852058861,17.5678659260667,17.7321340739332
"Petite",1110,17.6566666666667,0.721473470603624,300,0.0416542902466176,17.5746939530465,17.7386393802869
"Petite",1115,17.6633333333333,0.724618840334776,300,0.0418358882527157,17.5810032476091,17.7456634190576
"Petite",1120,17.6666666666667,0.723856881460935,300,0.0417918965366234,17.5844231535457,17.7489101797876
"Petite",1125,17.6833333333333,0.724434196624985,300,0.0418252278431605,17.6010242265453,17.7656424401213
"Petite",1130,17.6933333333333,0.717172697343491,300,0.0414059849866715,17.6118492670012,17.7748173996655
"Petite",1135,17.7166666666667,0.715141229980682,300,0.0412886981637947,17.635413412553,17.7979199207803
"Petite",1140,17.7266666666667,0.716706203052456,300,0.041379051926221,17.6452356027032,17.8080977306301
"Petite",1145,17.73,0.715639901226465,300,0.0413174889615937,17.6486900876212,17.8113099123788
"Petite",1150,17.75,0.7228936649578,300,0.0417362852058861,17.6678659260667,17.8321340739333
"Petite",1155,17.7666666666667,0.716892837195558,300,0.041389827253497,17.685214397617,17.8481189357163
"Petite",1160,17.7766666666667,0.717755388845167,300,0.0414396266962061,17.6951163958162,17.8582169375171
"Petite",1165,17.7833333333333,0.719802710490163,300,0.0415578288664918,17.701550448925,17.8651162177417
"Petite",1170,17.7866666666667,0.723117245489718,300,0.041749193633915,17.7045071898549,17.8688261434784
"Petite",1175,17.7866666666667,0.723117245489718,300,0.041749193633915,17.7045071898549,17.8688261434784
"Petite",1180,17.7966666666667,0.723695150685684,300,0.0417825590059607,17.7144415291494,17.878891804184
"Petite",1185,17.8333333333333,0.735317069613582,300,0.0424535508081129,17.7497877311409,17.9168789355258
"Petite",1190,17.84,0.736801366842246,300,0.0425392467485655,17.7562857542238,17.9237142457762
"Petite",1195,17.8466666666667,0.733677835367304,300,0.0423589095747775,17.7633073117652,17.9300260215681
"Petite",1200,17.8566666666667,0.733427074174839,300,0.0423444318705803,17.7733358028688,17.9399975304645
"Petite",1205,17.8733333333333,0.734224653423281,300,0.0423904801299591,17.7899118497997,17.956754816867
"Petite",1210,17.8833333333333,0.738154316435117,300,0.0426173593297299,17.7994653674911,17.9672012991755
"Petite",1215,17.9,0.729227382406089,300,0.0421019625532602,17.8171462987655,17.9828537012345
"Petite",1220,17.9166666666667,0.738154316435117,300,0.0426173593297299,17.8327987008245,18.0005346325089
"Petite",1225,17.93,0.752987361484364,300,0.0434737455849383,17.844446726238,18.015553273762
"Petite",1230,17.9433333333333,0.749663618359056,300,0.043281849186127,17.8581576981879,18.0285089684787
"Petite",1235,17.9533333333333,0.752580103108103,300,0.043450232511622,17.8678263316459,18.0388403350208
"Petite",1240,17.96,0.752965153070931,300,0.043472463381591,17.874449249524,18.045550750476
"Petite",1245,17.9733333333333,0.749105747067699,300,0.0432496404721032,17.8882210826719,18.0584455839948
"Petite",1250,17.98,0.753764243724161,300,0.0435185989019659,17.8943584580647,18.0656415419353
"Petite",1255,17.9866666666667,0.753912130528096,300,0.0435271371505721,17.9010083220586,18.0723250112748
"Petite",1260,17.99,0.756178563612385,300,0.0436579897257035,17.904084146727,18.075915853273
"Petite",1265,18.0033333333333,0.756237532950483,300,0.043661394322026,17.9174107800542,18.0892558866124
"Petite",1270,18.0166666666667,0.756060611138158,300,0.0436511797364288,17.9307642149736,18.1025691183597
"Petite",1275,18.0433333333333,0.741589783446299,300,0.0428157061100997,17.9590750349773,18.1275916316894
"Petite",1280,18.0633333333333,0.744650187601673,300,0.0429923986263931,17.9787273165322,18.1479393501345
"Petite",1285,18.0766666666667,0.743391547030372,300,0.0429197309791278,17.9922036546845,18.1611296786488
"Petite",1290,18.0933333333333,0.752668978275588,300,0.0434553637218091,18.0078162337851,18.1788504328815
"Petite",1295,18.1033333333333,0.762403931481217,300,0.0440174115071909,18.0167101632729,18.1899565033938
"Petite",1300,18.1166666666667,0.76485657095694,300,0.0441590147133444,18.0297648314556,18.2035685018778
"Petite w/o Delay",1,0,0,300,0,0,0
"Petite w/o Delay",5,3.60666666666667,0.489305926650263,300,0.0282500908467609,3.55107247473553,3.66226085859781
