"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
5,3,955,"petite","second-15min",239,295,34191,65866,534,100057,25957,29874,3528352,6491920,55831,10020272,"Equal Growth Rates"
5,4,960,"petite","second-15min",186,324,25225,75044,510,100269,19748,34670,2668671,7582410,54418,10251081,"Equal Growth Rates"
5,5,960,"petite","second-15min",139,352,20798,79280,491,100078,16194,36856,2204811,8009842,53050,10214653,"Equal Growth Rates"
5,6,960,"petite","second-15min",114,366,15079,84949,480,100028,11755,39300,1597080,8578407,51055,10175487,"Equal Growth Rates"
5,7,960,"petite","second-15min",83,384,11262,88893,467,100155,8718,41343,1188106,8988027,50061,10176133,"Equal Growth Rates"
5,8,960,"petite","second-15min",63,406,9040,91085,469,100125,7035,42382,953134,9211438,49417,10164572,"Equal Growth Rates"
5,9,960,"petite","second-15min",57,386,8509,91543,443,100052,6584,42550,897677,9253346,49134,10151023,"Equal Growth Rates"
5,10,960,"petite","second-15min",45,407,6684,93364,452,100048,5261,43393,705223,9442404,48654,10147627,"Equal Growth Rates"
5,11,960,"petite","second-15min",44,398,6254,93832,442,100086,4882,43559,659983,9475908,48441,10135891,"Equal Growth Rates"
5,12,960,"petite","second-15min",29,427,4362,95984,456,100346,3380,44841,459262,9712844,48221,10172106,"Equal Growth Rates"
5,13,960,"petite","second-15min",25,421,3456,97136,446,100592,2660,45271,367297,9817002,47931,10184299,"Equal Growth Rates"
5,14,960,"petite","second-15min",27,412,3703,96378,439,100081,2920,44761,391717,9748992,47681,10140709,"Equal Growth Rates"
5,15,960,"petite","second-15min",23,427,3125,96993,450,100118,2475,45194,332925,9804681,47669,10137606,"Equal Growth Rates"
5,16,960,"petite","second-15min",9,420,1498,98653,429,100151,1155,45773,157597,9972081,46928,10129678,"Equal Growth Rates"
