"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
3,6,"petite","second",3749,4129,364501,635588,8258,1271176,288,432,30995,69168,864,138336,"10mill-boot"
3,7,"petite","second",3698,4168,363345,636691,8336,1273382,278,433,29566,70494,866,140988,"10mill-boot"
3,8,"petite","second",3765,4156,366609,633463,8312,1266926,293,435,30503,69542,870,139084,"10mill-boot"
3,9,"petite","second",3842,4116,372796,627315,8232,1254630,278,430,28705,71398,860,142796,"10mill-boot"
3,10,"petite","second",3792,4173,368931,631079,8346,1262158,269,445,27998,72145,890,144290,"10mill-boot"
3,11,"petite","second",3781,4136,376271,623761,8272,1247522,300,427,32277,67745,854,135490,"10mill-boot"
3,12,"petite","second",3724,4164,362944,637084,8328,1274168,268,431,28504,71727,862,143454,"10mill-boot"
3,13,"petite","second",3853,4082,378166,621927,8164,1243854,271,455,28157,72001,910,144002,"10mill-boot"
3,14,"petite","second",3837,4033,375082,624970,8066,1249940,290,417,30189,69971,834,139942,"10mill-boot"
3,15,"petite","second",3813,4151,371404,628796,8302,1257592,294,433,30963,69279,866,138558,"10mill-boot"
3,16,"petite","second",3837,4042,376628,623427,8084,1246854,314,411,33305,66800,822,133600,"10mill-boot"
3,17,"petite","second",3715,4142,361581,638534,8284,1277068,287,432,29889,70117,864,140234,"10mill-boot"
3,18,"petite","second",3757,4165,364463,635619,8330,1271238,275,440,30299,69746,880,139492,"10mill-boot"
3,19,"petite","second",3888,4124,374561,625464,8248,1250928,294,430,29135,70961,860,141922,"10mill-boot"
3,20,"petite","second",3685,4253,358401,641680,8506,1283360,285,444,28718,71485,888,142970,"10mill-boot"
3,21,"petite","second",3738,4110,367618,632499,8220,1264998,287,415,30492,69977,830,139954,"10mill-boot"
3,22,"petite","second",3759,4162,367286,632794,8324,1265588,283,439,28872,71213,878,142426,"10mill-boot"
3,23,"petite","second",3813,4079,373706,626310,8158,1252620,294,414,31129,68992,828,137984,"10mill-boot"
