"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
30,4,855,"petite","second",11,52,1149,9075,63,10224,786,6141,76389,939976,6927,1016365,"1mill"
30,5,855,"petite","second",9,60,973,9044,69,10017,649,6208,63684,942149,6857,1005833,"1mill"
30,6,850,"petite","second",3,57,330,9823,60,10153,216,6455,21518,985533,6671,1007051,"1mill"
30,7,845,"petite","second",1,67,132,10350,68,10482,79,6661,8228,1014963,6740,1023191,"1mill"
39,1,890,"petite","second",48,32,5051,5016,80,10067,3800,4147,371889,633934,7947,1005823,"1mill"
39,2,865,"petite","second",25,44,2355,7679,69,10034,1683,5530,166454,847045,7213,1013499,"1mill"
39,3,860,"petite","second",19,52,2124,8074,71,10198,1448,5689,146164,862559,7137,1008723,"1mill"
39,4,855,"petite","second",7,57,813,9240,64,10053,550,6282,54469,961057,6832,1015526,"1mill"
39,5,850,"petite","second",2,56,210,9825,58,10035,136,6476,13499,990030,6612,1003529,"1mill"
39,6,850,"petite","second",2,61,251,9908,63,10159,164,6573,16424,1002420,6737,1018844,"1mill"
39,7,855,"petite","second",2,60,307,9696,62,10003,212,6604,20451,1003406,6816,1023857,"1mill"
4,1,890,"petite","second",49,30,5015,5011,79,10026,3810,4140,371587,634381,7950,1005968,"1mill"
4,2,870,"petite","second",31,36,3100,6958,67,10058,2261,5143,223414,786107,7404,1009521,"1mill"
4,3,855,"petite","second",12,52,1308,8899,64,10207,859,6150,86657,927450,7009,1014107,"1mill"
4,4,855,"petite","second",9,53,998,9128,62,10126,650,6170,65627,946796,6820,1012423,"1mill"
4,5,850,"petite","second",5,62,513,9750,67,10263,324,6382,32956,981341,6706,1014297,"1mill"
4,6,850,"petite","second",2,58,133,9927,60,10060,93,6598,8687,1000677,6691,1009364,"1mill"
3,1,885,"petite","second",52,35,5103,5146,87,10249,3760,4164,366143,633881,7924,1000024,"1mill"
3,2,865,"petite","second",23,39,2489,7578,62,10067,1763,5456,173604,831612,7219,1005216,"1mill"
3,3,855,"petite","second",10,54,1048,9186,64,10234,694,6242,69572,951402,6936,1020974,"1mill"
3,4,850,"petite","second",3,58,343,9821,61,10164,215,6558,22097,993939,6773,1016036,"1mill"
3,5,850,"petite","second",2,59,283,9835,61,10118,184,6499,18161,992524,6683,1010685,"1mill"
3,6,850,"petite","second",3,58,362,9737,61,10099,237,6396,23677,981669,6633,1005346,"1mill"
3,7,850,"petite","second",1,59,151,9993,60,10144,92,6653,9696,1011075,6745,1020771,"1mill"
3,8,850,"petite","second",2,57,236,9907,59,10143,163,6528,15775,1000253,6691,1016028,"1mill"
3,9,850,"petite","second",1,60,67,10043,61,10110,46,6621,4143,1011863,6667,1016006,"1mill"
2,1,885,"petite","second",52,32,5072,5299,84,10371,3757,4299,364255,648952,8056,1013207,"1mill"
2,2,865,"petite","second",23,51,2111,7907,74,10018,1483,5678,147200,868882,7161,1016082,"1mill"
2,3,855,"petite","second",12,49,1225,8934,61,10159,815,6074,82039,928998,6889,1011037,"1mill"
2,4,850,"petite","second",1,59,192,9832,60,10024,123,6485,12464,989424,6608,1001888,"1mill"
38,1,890,"petite","second",51,35,5052,5140,86,10192,3818,4288,372164,653473,8106,1025637,"1mill"
38,2,860,"petite","second",22,43,2251,7943,65,10194,1579,5566,154474,853373,7145,1007847,"1mill"
38,3,855,"petite","second",13,49,1368,8976,62,10344,917,6114,90168,926077,7031,1016245,"1mill"
38,4,855,"petite","second",6,61,673,9479,67,10152,444,6375,43627,983087,6819,1026714,"1mill"
38,5,850,"petite","second",2,59,255,9855,61,10110,161,6445,16390,990949,6606,1007339,"1mill"
38,6,850,"petite","second",2,56,200,9944,58,10144,134,6526,12706,1002421,6660,1015127,"1mill"
38,7,850,"petite","second",2,59,170,9936,61,10106,120,6579,10928,1002434,6699,1013362,"1mill"
5,1,890,"petite","second",51,35,5051,5014,86,10065,3806,4191,372976,640595,7997,1013571,"1mill"
5,2,870,"petite","second",27,39,3069,6935,66,10004,2245,5124,219905,782721,7369,1002626,"1mill"
5,3,860,"petite","second",17,53,1406,8606,70,10012,968,6040,96091,921491,7008,1017582,"1mill"
