"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
3,13,"petite","second-15min",420,4412,55819,955266,4832,1011085,20,413,2516,97553,433,100069,"Equal Growth Rates"
3,14,"petite","second-15min",206,4533,27070,978134,4739,1005204,13,423,1426,98669,436,100095,"Equal Growth Rates"
3,15,"petite","second-15min",111,4589,14756,987410,4700,1002166,7,429,889,99179,436,100068,"Equal Growth Rates"
3,16,"petite","second-15min",66,4620,8939,1002431,4686,1011370,2,435,279,99983,437,100262,"Equal Growth Rates"
3,17,"petite","second-15min",27,4624,3792,1006602,4651,1010394,3,441,446,99688,444,100134,"Equal Growth Rates"
3,18,"petite","second-15min",32,4640,4669,1001749,4672,1006418,3,436,511,99602,439,100113,"Equal Growth Rates"
3,19,"petite","second-15min",31,4630,3992,1006033,4661,1010025,1,429,122,99905,430,100027,"Equal Growth Rates"
2,1,"petite","second-15min",3887,2251,521898,483641,6138,1005539,317,238,46686,53416,555,100102,"Equal Growth Rates"
2,2,"petite","second-15min",3473,2480,475305,536144,5953,1011449,265,279,39889,60375,544,100264,"Equal Growth Rates"
2,3,"petite","second-15min",3059,2714,417597,586280,5773,1003877,254,271,37659,62445,525,100104,"Equal Growth Rates"
2,4,"petite","second-15min",2877,2803,389612,611237,5680,1000849,230,287,34993,65008,517,100001,"Equal Growth Rates"
2,5,"petite","second-15min",2612,2991,352776,645091,5603,997867,214,314,30805,69347,528,100152,"Equal Growth Rates"
2,6,"petite","second-15min",2319,3174,306614,691818,5493,998432,169,327,23635,76392,496,100027,"Equal Growth Rates"
2,7,"petite","second-15min",1809,3585,243464,771401,5394,1014865,121,350,17962,82075,471,100037,"Equal Growth Rates"
2,8,"petite","second-15min",1396,3831,189706,824839,5227,1014545,103,376,15463,84771,479,100234,"Equal Growth Rates"
2,9,"petite","second-15min",1229,3915,166159,854255,5144,1020414,88,363,13411,86795,451,100206,"Equal Growth Rates"
2,10,"petite","second-15min",1074,3997,146347,867464,5071,1013811,85,370,12317,87848,455,100165,"Equal Growth Rates"
2,11,"petite","second-15min",975,4073,129617,884583,5048,1014200,70,387,9928,90315,457,100243,"Equal Growth Rates"
2,12,"petite","second-15min",772,4208,102846,901605,4980,1004451,41,408,5308,94860,449,100168,"Equal Growth Rates"
2,13,"petite","second-15min",426,4399,60319,942829,4825,1003148,32,415,4444,95738,447,100182,"Equal Growth Rates"
2,14,"petite","second-15min",319,4475,43118,964513,4794,1007631,26,407,4009,95999,433,100008,"Equal Growth Rates"
