"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
45,4,"petite","second",54,622,5179,96881,676,102060,2,53,246,9799,55,10045,"Normal"
45,5,"petite","second",21,647,1870,95252,668,97122,3,59,270,9738,62,10008,"Normal"
45,6,"petite","second",20,663,2242,100899,683,103141,1,58,143,9907,59,10050,"Normal"
37,1,"petite","second",373,435,35497,67055,808,102552,34,40,3750,6377,74,10127,"Normal"
37,2,"petite","second",275,496,26965,76909,771,103874,19,49,2085,8020,68,10105,"Normal"
37,3,"petite","second",163,566,16274,85996,729,102270,17,52,1789,8282,69,10071,"Normal"
37,4,"petite","second",117,579,12191,88131,696,100322,11,54,1336,8854,65,10190,"Normal"
37,5,"petite","second",96,602,9521,93230,698,102751,8,58,876,9137,66,10013,"Normal"
37,6,"petite","second",59,619,5776,96880,678,102656,3,59,438,10003,62,10441,"Normal"
37,7,"petite","second",23,647,2363,99805,670,102168,1,57,46,10052,58,10098,"Normal"
42,1,"petite","second",407,400,40590,60578,807,101168,26,41,3158,6974,67,10132,"Normal"
42,2,"petite","second",229,523,21418,78716,752,100134,15,50,1777,8418,65,10195,"Normal"
42,3,"petite","second",125,579,12382,90176,704,102558,12,47,1432,8599,59,10031,"Normal"
42,4,"petite","second",96,609,9578,94328,705,103906,5,56,431,9580,61,10011,"Normal"
42,5,"petite","second",29,657,3331,100556,686,103887,3,57,286,9719,60,10005,"Normal"
42,6,"petite","second",16,665,1651,100535,681,102186,1,65,178,9960,66,10138,"Normal"
42,7,"petite","second",9,661,853,101264,670,102117,2,60,276,9896,62,10172,"Normal"
42,8,"petite","second",27,641,2900,96491,668,99391,1,61,99,10017,62,10116,"Normal"
22,1,"petite","second",384,411,36739,60783,795,97522,27,46,2622,7488,73,10110,"Normal"
22,2,"petite","second",192,533,18849,83876,725,102725,19,51,2121,7933,70,10054,"Normal"
22,3,"petite","second",134,580,12845,90834,714,103679,5,57,446,9592,62,10038,"Normal"
22,4,"petite","second",28,657,2643,100244,685,102887,1,63,165,9836,64,10001,"Normal"
18,1,"petite","second",404,399,40353,60596,803,100949,23,42,2721,7425,65,10146,"Normal"
18,2,"petite","second",186,541,18380,84099,727,102479,17,52,2278,7739,69,10017,"Normal"
18,3,"petite","second",161,558,15841,84480,719,100321,10,52,1034,9055,62,10089,"Normal"
18,4,"petite","second",65,627,5880,93653,692,99533,5,64,570,9462,69,10032,"Normal"
18,5,"petite","second",56,626,5425,97612,682,103037,5,60,497,9679,65,10176,"Normal"
41,1,"petite","second",392,398,38914,62916,790,101830,29,42,3123,6881,71,10004,"Normal"
41,2,"petite","second",228,513,23132,77909,741,101041,19,49,2148,7930,68,10078,"Normal"
41,3,"petite","second",161,560,15977,86553,721,102530,12,50,1364,8910,62,10274,"Normal"
41,4,"petite","second",106,590,11049,90777,696,101826,7,56,788,9372,63,10160,"Normal"
41,5,"petite","second",54,640,5426,97546,694,102972,4,62,309,9730,66,10039,"Normal"
40,1,"petite","second",370,433,35036,67608,803,102644,25,48,2378,7625,73,10003,"Normal"
40,2,"petite","second",154,564,15194,86048,718,101242,8,54,931,9078,62,10009,"Normal"
40,3,"petite","second",78,602,7832,91758,680,99590,3,59,233,9843,62,10076,"Normal"
6,1,"petite","second",372,433,36008,68922,805,104930,25,45,2939,7107,70,10046,"Normal"
6,2,"petite","second",231,510,22522,79603,741,102125,17,45,1906,8223,62,10129,"Normal"
6,3,"petite","second",133,568,13381,86912,701,100293,8,56,1020,9179,64,10199,"Normal"
6,4,"petite","second",63,632,6257,97167,695,103424,4,65,313,9696,69,10009,"Normal"
6,5,"petite","second",22,656,2339,100029,678,102368,1,61,232,9906,62,10138,"Normal"
6,6,"petite","second",20,655,2098,98561,675,100659,3,64,277,9731,67,10008,"Normal"
6,7,"petite","second",10,653,829,99111,663,99940,1,60,59,10069,61,10128,"Normal"
46,1,"petite","second",395,400,37951,59856,795,97807,36,40,3530,6522,76,10052,"Normal"
46,2,"petite","second",253,516,24553,77911,769,102464,14,58,1469,8567,72,10036,"Normal"
46,3,"petite","second",109,588,11006,91441,697,102447,11,57,1058,8979,68,10037,"Normal"
46,4,"petite","second",72,604,6933,92923,676,99856,7,56,946,9156,63,10102,"Normal"
46,5,"petite","second",54,635,5234,98734,689,103968,4,53,402,9630,57,10032,"Normal"
43,1,"petite","second",374,419,36590,65426,793,102016,28,40,2709,7331,68,10040,"Normal"
43,2,"petite","second",176,563,17104,88592,739,105696,8,51,847,9158,59,10005,"Normal"
43,3,"petite","second",60,626,6359,95767,686,102126,6,58,528,9617,64,10145,"Normal"
43,4,"petite","second",38,637,3910,97217,675,101127,4,57,475,9592,61,10067,"Normal"
43,5,"petite","second",36,650,3825,100471,686,104296,2,62,129,9945,64,10074,"Normal"
43,6,"petite","second",6,667,603,99702,673,100305,1,65,91,9942,66,10033,"Normal"
44,1,"petite","second",387,413,37206,66382,800,103588,21,47,1905,8275,68,10180,"Normal"
44,2,"petite","second",130,576,13274,88136,706,101410,8,59,742,9385,67,10127,"Normal"
44,3,"petite","second",51,636,5241,97659,687,102900,3,62,351,9698,65,10049,"Normal"
44,4,"petite","second",27,655,2990,100008,682,102998,2,60,288,9864,62,10152,"Normal"
2,1,"petite","second",401,407,39603,61302,808,100905,30,40,3213,6900,70,10113,"Normal"
2,2,"petite","second",229,525,21448,80394,754,101842,19,53,1840,8171,72,10011,"Normal"
2,3,"petite","second",118,606,11416,93992,724,105408,2,57,224,9846,59,10070,"Normal"
2,4,"petite","second",13,659,1125,100231,672,101356,4,56,364,9669,60,10033,"Normal"
2,5,"petite","second",26,657,2362,100965,683,103327,1,62,62,9979,63,10041,"Normal"
2,6,"petite","second",4,658,497,101732,662,102229,1,67,137,10080,68,10217,"Normal"
48,1,"petite","second",377,423,35964,64516,800,100480,29,41,2705,7527,70,10232,"Normal"
48,2,"petite","second",179,556,18725,84410,735,103135,18,52,2183,7880,70,10063,"Normal"
48,3,"petite","second",157,564,14864,87017,721,101881,12,55,1538,8660,67,10198,"Normal"
48,4,"petite","second",99,591,9952,89217,690,99169,4,61,439,9635,65,10074,"Normal"
48,5,"petite","second",22,655,2415,99842,677,102257,4,61,398,9764,65,10162,"Normal"
48,6,"petite","second",27,646,2964,98294,673,101258,3,59,454,9549,62,10003,"Normal"
48,7,"petite","second",34,644,3231,96991,678,100222,2,64,213,9868,66,10081,"Normal"
10,1,"petite","second",363,429,35068,65996,792,101064,31,45,3373,6823,76,10196,"Normal"
10,2,"petite","second",257,491,26292,74361,748,100653,18,49,2134,7894,67,10028,"Normal"
10,3,"petite","second",146,574,14369,87181,720,101550,18,47,1560,8507,65,10067,"Normal"
10,4,"petite","second",115,593,11514,90085,708,101599,13,54,1760,8421,67,10181,"Normal"
