"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
1,3,"petite","second",141,565,13893,85585,706,99478,15,51,1611,8499,66,10110,"1mill"
1,4,"petite","second",104,604,10138,93451,708,103589,7,57,682,9401,64,10083,"1mill"
1,5,"petite","second",45,645,4477,100430,690,104907,4,59,289,9772,63,10061,"1mill"
1,6,"petite","second",17,652,1617,98457,669,100074,1,58,53,9947,59,10000,"1mill"
34,1,"petite","second",396,413,39112,63933,809,103045,39,37,4011,6053,76,10064,"1mill"
34,2,"petite","second",296,488,28599,74825,784,103424,17,49,1639,8365,66,10004,"1mill"
34,3,"petite","second",96,612,10232,92228,708,102460,8,55,1024,9082,63,10106,"1mill"
28,1,"petite","second",387,413,39204,63741,800,102945,34,38,3865,6166,72,10031,"1mill"
28,2,"petite","second",278,482,28505,72312,760,100817,21,51,2028,8165,72,10193,"1mill"
28,3,"petite","second",143,562,14990,87200,705,102190,15,50,1710,8292,65,10002,"1mill"
28,4,"petite","second",131,586,12509,90342,717,102851,6,59,636,9538,65,10174,"1mill"
28,5,"petite","second",48,630,5031,94352,678,99383,4,57,477,9543,61,10020,"1mill"
28,6,"petite","second",31,644,3073,98688,675,101761,2,62,244,9757,64,10001,"1mill"
15,1,"petite","second",400,410,40486,64930,810,105416,26,41,2974,7088,67,10062,"1mill"
15,2,"petite","second",219,530,20309,80458,749,100767,11,55,958,9224,66,10182,"1mill"
15,3,"petite","second",74,613,7519,94785,687,102304,5,55,447,9584,60,10031,"1mill"
15,4,"petite","second",21,663,2026,103553,684,105579,4,60,418,9584,64,10002,"1mill"
21,1,"petite","second",378,431,36288,66408,809,102696,33,38,3530,6583,71,10113,"1mill"
21,2,"petite","second",261,482,25197,73334,743,98531,22,47,2138,7914,69,10052,"1mill"
21,3,"petite","second",166,560,16630,88426,726,105056,11,50,1249,8752,61,10001,"1mill"
21,4,"petite","second",76,623,8051,94564,699,102615,2,64,403,9799,66,10202,"1mill"
21,5,"petite","second",28,645,2755,98922,673,101677,3,66,245,9917,69,10162,"1mill"
25,1,"petite","second",387,418,36900,67051,805,103951,30,42,3196,6804,72,10000,"1mill"
25,2,"petite","second",244,516,24827,78274,760,103101,21,47,2426,7686,68,10112,"1mill"
25,3,"petite","second",153,575,15080,88570,728,103650,9,57,872,9167,66,10039,"1mill"
25,4,"petite","second",67,619,6392,94189,686,100581,5,63,408,9828,68,10236,"1mill"
25,5,"petite","second",30,648,3153,99660,678,102813,1,56,96,9968,57,10064,"1mill"
31,1,"petite","second",396,403,38739,60070,799,98809,35,45,3684,6622,80,10306,"1mill"
31,2,"petite","second",283,476,28122,73697,759,101819,22,49,2121,7939,71,10060,"1mill"
31,3,"petite","second",167,557,17113,85861,724,102974,14,56,1513,8547,70,10060,"1mill"
31,4,"petite","second",129,575,13101,89249,704,102350,9,50,1126,8906,59,10032,"1mill"
31,5,"petite","second",66,636,6595,97025,702,103620,6,57,564,9452,63,10016,"1mill"
31,6,"petite","second",39,643,3941,97717,682,101658,2,66,145,9997,68,10142,"1mill"
12,1,"petite","second",353,454,34985,69224,807,104209,33,44,3530,6535,77,10065,"1mill"
12,2,"petite","second",265,493,25859,74803,758,100662,16,58,1914,8103,74,10017,"1mill"
12,3,"petite","second",139,581,14180,88003,720,102183,18,51,1772,8341,69,10113,"1mill"
12,4,"petite","second",118,590,11084,90700,708,101784,6,54,811,9225,60,10036,"1mill"
12,5,"petite","second",71,608,7058,93238,679,100296,2,56,237,9892,58,10129,"1mill"
9,1,"petite","second",372,429,37554,63736,801,101290,28,40,3358,6688,68,10046,"1mill"
9,2,"petite","second",241,510,22701,79185,751,101886,13,53,1144,8897,66,10041,"1mill"
29,1,"petite","second",378,433,37590,64624,811,102214,28,40,3550,6550,68,10100,"1mill"
29,2,"petite","second",252,514,25005,81212,766,106217,20,48,1896,8329,68,10225,"1mill"
29,3,"petite","second",149,564,14647,88420,713,103067,8,56,824,9291,64,10115,"1mill"
29,4,"petite","second",64,621,6157,95444,685,101601,4,61,543,9480,65,10023,"1mill"
29,5,"petite","second",34,647,3373,98254,681,101627,2,65,298,9926,67,10224,"1mill"
29,6,"petite","second",15,661,1444,100747,676,102191,1,61,45,10107,62,10152,"1mill"
29,7,"petite","second",2,663,210,102035,665,102245,1,62,118,9947,63,10065,"1mill"
29,8,"petite","second",6,663,637,103041,669,103678,1,63,66,10041,64,10107,"1mill"
45,1,"petite","second",375,419,35932,66203,794,102135,30,45,2676,7457,75,10133,"1mill"
45,2,"petite","second",173,556,17074,85847,729,102921,12,50,1332,8738,62,10070,"1mill"
45,3,"petite","second",95,607,9421,93453,702,102874,7,55,804,9250,62,10054,"1mill"
45,4,"petite","second",54,622,5179,96881,676,102060,2,53,246,9799,55,10045,"1mill"
45,5,"petite","second",21,647,1870,95252,668,97122,3,59,270,9738,62,10008,"1mill"
45,6,"petite","second",20,663,2242,100899,683,103141,1,58,143,9907,59,10050,"1mill"
37,1,"petite","second",373,435,35497,67055,808,102552,34,40,3750,6377,74,10127,"1mill"
37,2,"petite","second",275,496,26965,76909,771,103874,19,49,2085,8020,68,10105,"1mill"
37,3,"petite","second",163,566,16274,85996,729,102270,17,52,1789,8282,69,10071,"1mill"
37,4,"petite","second",117,579,12191,88131,696,100322,11,54,1336,8854,65,10190,"1mill"
37,5,"petite","second",96,602,9521,93230,698,102751,8,58,876,9137,66,10013,"1mill"
37,6,"petite","second",59,619,5776,96880,678,102656,3,59,438,10003,62,10441,"1mill"
