"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
21,5,850,"petite","second",2,64,403,9799,66,10202,255,6467,26129,989815,6722,1015944,"Normal"
21,6,850,"petite","second",3,66,245,9917,69,10162,152,6520,15641,1000843,6672,1016484,"Normal"
25,1,890,"petite","second",47,32,5008,5111,79,10119,3822,4220,370555,648221,8042,1018776,"Normal"
25,2,875,"petite","second",30,42,3196,6804,72,10000,2366,5229,235951,791329,7595,1027280,"Normal"
25,3,865,"petite","second",21,47,2426,7686,68,10112,1703,5568,169707,849113,7271,1018820,"Normal"
25,4,855,"petite","second",9,57,872,9167,66,10039,594,6259,58102,954600,6853,1012702,"Normal"
25,5,850,"petite","second",5,63,408,9828,68,10236,247,6528,25699,991961,6775,1017660,"Normal"
25,6,850,"petite","second",1,56,96,9968,57,10064,63,6647,6157,1008425,6710,1014582,"Normal"
31,1,890,"petite","second",55,31,5022,5085,86,10107,3786,4203,368727,643976,7989,1012703,"Normal"
31,2,870,"petite","second",35,45,3684,6622,80,10306,2679,4907,267184,745397,7586,1012581,"Normal"
31,3,865,"petite","second",22,49,2121,7939,71,10060,1499,5738,148451,872424,7237,1020875,"Normal"
31,4,860,"petite","second",14,56,1513,8547,70,10060,1049,5989,103107,909165,7038,1012272,"Normal"
31,5,860,"petite","second",9,50,1126,8906,59,10032,769,6249,76464,952095,7018,1028559,"Normal"
31,6,855,"petite","second",6,57,564,9452,63,10016,371,6444,36565,978688,6815,1015253,"Normal"
31,7,850,"petite","second",2,66,145,9997,68,10142,97,6612,9264,1007646,6709,1016910,"Normal"
12,1,890,"petite","second",49,32,5008,5068,81,10076,3816,4245,370524,642687,8061,1013211,"Normal"
12,2,875,"petite","second",33,44,3530,6535,77,10065,2626,4947,259507,761002,7573,1020509,"Normal"
12,3,865,"petite","second",16,58,1914,8103,74,10017,1364,5833,134211,892944,7197,1027155,"Normal"
12,4,860,"petite","second",18,51,1772,8341,69,10113,1239,5835,120602,893466,7074,1014068,"Normal"
12,5,855,"petite","second",6,54,811,9225,60,10036,553,6229,53600,957365,6782,1010965,"Normal"
12,6,850,"petite","second",2,56,237,9892,58,10129,164,6527,15578,992543,6691,1008121,"Normal"
9,1,890,"petite","second",54,36,5050,5058,90,10108,3787,4216,373115,642250,8003,1015365,"Normal"
9,2,870,"petite","second",28,40,3358,6688,68,10046,2450,5054,240230,762894,7504,1003124,"Normal"
9,3,855,"petite","second",13,53,1144,8897,66,10041,766,6060,76396,929152,6826,1005548,"Normal"
