"sim_number","number_divisions","minutes","experiment","experiment_name"
1,3,86.0477,"slow_first_div","Slow First Division"
1,1,122.5875,"slow_first_div","Slow First Division"
1,6,91.1728,"slow_first_div","Slow First Division"
1,1,133.52,"slow_first_div","Slow First Division"
1,4,88.1265,"slow_first_div","Slow First Division"
1,1,123.8051,"slow_first_div","Slow First Division"
1,2,104.7895,"slow_first_div","Slow First Division"
1,1,134.9895,"slow_first_div","Slow First Division"
1,7,94.7128,"slow_first_div","Slow First Division"
1,1,110.1458,"slow_first_div","Slow First Division"
1,2,85.6407,"slow_first_div","Slow First Division"
1,1,125.0951,"slow_first_div","Slow First Division"
1,2,104.0732,"slow_first_div","Slow First Division"
1,1,101.9847,"slow_first_div","Slow First Division"
1,5,83.4997,"slow_first_div","Slow First Division"
1,1,123.1317,"slow_first_div","Slow First Division"
1,2,79.4209,"slow_first_div","Slow First Division"
1,1,110.2594,"slow_first_div","Slow First Division"
1,2,97.6242,"slow_first_div","Slow First Division"
1,1,117.1626,"slow_first_div","Slow First Division"
1,5,94.5854,"slow_first_div","Slow First Division"
1,1,104.6133,"slow_first_div","Slow First Division"
1,2,90.3439,"slow_first_div","Slow First Division"
1,1,112.3592,"slow_first_div","Slow First Division"
1,2,87.8295,"slow_first_div","Slow First Division"
1,1,104.0856,"slow_first_div","Slow First Division"
