"sim_number","generation","diameter","experiment","experiment_name"
2,75,11,"slow_first_div","Slow First Division"
2,76,11,"slow_first_div","Slow First Division"
2,77,11,"slow_first_div","Slow First Division"
2,78,12,"slow_first_div","Slow First Division"
2,79,11,"slow_first_div","Slow First Division"
2,80,11,"slow_first_div","Slow First Division"
2,81,11,"slow_first_div","Slow First Division"
2,82,12,"slow_first_div","Slow First Division"
2,83,12,"slow_first_div","Slow First Division"
2,84,11,"slow_first_div","Slow First Division"
2,85,12,"slow_first_div","Slow First Division"
2,86,12,"slow_first_div","Slow First Division"
2,87,11,"slow_first_div","Slow First Division"
2,88,11,"slow_first_div","Slow First Division"
2,89,12,"slow_first_div","Slow First Division"
2,90,11,"slow_first_div","Slow First Division"
2,91,11,"slow_first_div","Slow First Division"
2,92,11,"slow_first_div","Slow First Division"
2,93,11,"slow_first_div","Slow First Division"
2,94,11,"slow_first_div","Slow First Division"
2,95,11,"slow_first_div","Slow First Division"
2,96,11,"slow_first_div","Slow First Division"
2,97,11,"slow_first_div","Slow First Division"
2,98,11,"slow_first_div","Slow First Division"
2,99,11,"slow_first_div","Slow First Division"
2,100,11,"slow_first_div","Slow First Division"
2,101,11,"slow_first_div","Slow First Division"
3,0,11,"slow_first_div","Slow First Division"
3,1,11,"slow_first_div","Slow First Division"
3,2,11,"slow_first_div","Slow First Division"
3,3,11,"slow_first_div","Slow First Division"
3,4,11,"slow_first_div","Slow First Division"
3,5,11,"slow_first_div","Slow First Division"
3,6,11,"slow_first_div","Slow First Division"
3,7,11,"slow_first_div","Slow First Division"
3,8,11,"slow_first_div","Slow First Division"
3,9,12,"slow_first_div","Slow First Division"
3,10,11,"slow_first_div","Slow First Division"
3,11,11,"slow_first_div","Slow First Division"
3,12,11,"slow_first_div","Slow First Division"
3,13,11,"slow_first_div","Slow First Division"
3,14,11,"slow_first_div","Slow First Division"
3,15,11,"slow_first_div","Slow First Division"
3,16,11,"slow_first_div","Slow First Division"
3,17,11,"slow_first_div","Slow First Division"
3,18,11,"slow_first_div","Slow First Division"
3,19,12,"slow_first_div","Slow First Division"
3,20,11,"slow_first_div","Slow First Division"
3,21,12,"slow_first_div","Slow First Division"
3,22,11,"slow_first_div","Slow First Division"
3,23,11,"slow_first_div","Slow First Division"
3,24,11,"slow_first_div","Slow First Division"
3,25,12,"slow_first_div","Slow First Division"
3,26,11,"slow_first_div","Slow First Division"
3,27,11,"slow_first_div","Slow First Division"
3,28,11,"slow_first_div","Slow First Division"
3,29,11,"slow_first_div","Slow First Division"
3,30,12,"slow_first_div","Slow First Division"
3,31,12,"slow_first_div","Slow First Division"
3,32,11,"slow_first_div","Slow First Division"
3,33,12,"slow_first_div","Slow First Division"
3,34,11,"slow_first_div","Slow First Division"
3,35,11,"slow_first_div","Slow First Division"
3,36,11,"slow_first_div","Slow First Division"
3,37,11,"slow_first_div","Slow First Division"
3,38,11,"slow_first_div","Slow First Division"
3,39,13,"slow_first_div","Slow First Division"
3,40,11,"slow_first_div","Slow First Division"
3,41,11,"slow_first_div","Slow First Division"
3,42,11,"slow_first_div","Slow First Division"
3,43,11,"slow_first_div","Slow First Division"
3,44,11,"slow_first_div","Slow First Division"
3,45,12,"slow_first_div","Slow First Division"
3,46,11,"slow_first_div","Slow First Division"
3,47,11,"slow_first_div","Slow First Division"
3,48,11,"slow_first_div","Slow First Division"
3,49,11,"slow_first_div","Slow First Division"
3,50,11,"slow_first_div","Slow First Division"
3,51,12,"slow_first_div","Slow First Division"
3,52,11,"slow_first_div","Slow First Division"
3,53,11,"slow_first_div","Slow First Division"
3,54,12,"slow_first_div","Slow First Division"
