"Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Slice","AR","Round","Solidity","group_id","num_cells","date","strain","replicate","image_num"
3094.78679,255,0,255,255,382.48361,382.81621,320.86213,72.82893,54.10494,13.02642,0.37775,789170.63173,255,100,37457715,1,1.34607,0.7429,0.81868,"18",105,"2025may19","grande","1","010"
135.23746,255,0,255,255,236.18847,391.20066,52.85349,16.19357,10.63321,76.9606,0.60836,34485.55265,255,100,1636845,1,1.52292,0.65663,0.87901,"19",2,"2025may19","grande","1","010"
152.11318,255,0,255,255,632.3267,410.37981,54.9852,16.51866,11.72471,82.89768,0.63224,38788.85965,255,100,1841100,1,1.40888,0.70979,0.90795,"20",3,"2025may19","grande","1","010"
296.70496,255,0,255,255,331.41211,421.59102,78.96931,27.30588,13.83498,20.61349,0.59789,75659.766,255,100,3591165,1,1.97368,0.50667,0.89701,"21",7,"2025may19","grande","1","010"
113.45283,255,0,255,255,268.83229,456.84742,44.75431,15.15017,9.53472,39.48459,0.7118,28930.47219,255,100,1373175,1,1.58895,0.62935,0.91597,"22",2,"2025may19","grande","1","010"
364.90307,255,0,255,255,390.31547,69.37602,91.81893,28.46998,16.31926,149.54564,0.5439,93050.28382,255,100,4416600,1,1.74456,0.57321,0.86289,"1",9,"2025may19","grande","1","011"
218.03591,255,0,255,255,372.37617,123.51744,66.02863,20.10699,13.80674,148.61213,0.62845,55599.15631,255,100,2638995,1,1.45632,0.68666,0.89555,"2",4,"2025may19","grande","1","011"
8356.65962,255,0,255,255,68.70056,206.80961,552.96378,110.43918,96.34289,61.66413,0.34344,2130948.20306,255,100,101144730,1,1.14631,0.87236,0.82317,"3",322,"2025may19","grande","1","011"
3859.79808,255,0,255,255,665.03983,275.7094,349.52374,72.43737,67.84409,104.87992,0.39703,984248.51024,255,100,46717020,1,1.0677,0.93659,0.88806,"4",125,"2025may19","grande","1","011"
203.43557,255,0,255,255,148.01642,272.53191,65.49784,19.31518,13.41029,158.79156,0.59591,51876.07047,255,100,2462280,1,1.44033,0.69429,0.86983,"5",4,"2025may19","grande","1","011"
166.06039,255,0,255,255,221.85232,297.96465,59.23152,16.2139,13.04034,148.40037,0.5948,42345.40052,255,100,2009910,1,1.24336,0.80427,0.89711,"6",3,"2025may19","grande","1","011"
212.34746,255,0,255,255,70.43821,297.84824,62.84389,19.41434,13.92627,160.0673,0.67566,54148.60339,255,100,2570145,1,1.39408,0.71732,0.90687,"7",5,"2025may19","grande","1","011"
6267.25243,255,0,255,255,185.01954,341.10201,477.80461,100.44586,79.44293,164.5996,0.34497,1598149.36948,255,100,75855615,1,1.26438,0.7909,0.8555,"8",227,"2025may19","grande","1","011"
177.7533,255,0,255,255,125.92866,311.13605,64.34269,17.65315,12.82052,54.99042,0.53955,45327.09264,255,100,2151435,1,1.37695,0.72625,0.823,"9",3,"2025may19","grande","1","011"
92.51094,255,0,255,255,686.81933,368.00836,40.79829,11.57632,10.17496,123.51827,0.69842,23590.28847,255,100,1119705,1,1.13773,0.87895,0.90611,"10",1,"2025may19","grande","1","011"
84.12575,255,0,255,255,50.02762,437.45323,36.85436,11.00998,9.72865,178.10124,0.77833,21452.06601,255,100,1018215,1,1.13171,0.88362,0.92121,"11",1,"2025may19","grande","1","011"
71.69545,255,0,255,255,315.71458,444.44299,32.06871,10.14604,8.99715,71.79246,0.87607,18282.33925,255,100,867765,1,1.12769,0.88677,0.96144,"12",1,"2025may19","grande","1","011"
216.03442,255,0,255,255,282.2036,28.04469,69.12834,21.65641,12.70125,94.55027,0.56809,55088.77658,255,100,2614770,1,1.70506,0.58649,0.89258,"1",4,"2025may19","grande","1","012"
83.30409,255,0,255,255,387.39536,42.4947,43.21175,11.01318,9.63083,49.90284,0.56062,21242.5417,255,100,1008270,1,1.14353,0.87448,0.84632,"2",1,"2025may19","grande","1","012"
4000.26048,255,0,255,255,592.63642,102.54583,370.13243,85.98477,59.23479,160.53639,0.36693,1020066.42261,255,100,48417105,1,1.45159,0.6889,0.84431,"3",133,"2025may19","grande","1","012"
10389.32986,255,0,255,255,405.17832,181.15489,683.83921,132.57828,99.77582,113.04466,0.27918,2649279.11433,255,100,125747130,1,1.32876,0.75258,0.84266,"4",416,"2025may19","grande","1","012"
129.50688,255,0,255,255,27.42165,122.92228,49.03835,16.02636,10.28888,57.29323,0.67675,33024.25489,255,100,1567485,1,1.55764,0.642,0.91331,"5",2,"2025may19","grande","1","012"
199.34832,255,0,255,255,657.29663,173.03348,56.20224,18.84093,13.47164,104.79836,0.79308,50833.82134,255,100,2412810,1,1.39856,0.71502,0.95014,"6",5,"2025may19","grande","1","012"
10848.36613,255,0,255,255,112.53785,337.02182,656.12352,137.88887,100.17175,123.67249,0.31667,2766333.36282,255,100,131303070,1,1.37652,0.72647,0.82038,"7",437,"2025may19","grande","1","012"
66.3441,255,0,255,255,410.80579,260.11261,31.36786,10.03348,8.419,175.97847,0.84731,16917.74502,255,100,802995,1,1.19177,0.83909,0.94338,"8",1,"2025may19","grande","1","012"
95.27088,255,0,255,255,76.406,441.61138,42.37607,13.15851,9.21857,68.41716,0.6667,24294.07526,255,100,1153110,1,1.42739,0.70058,0.89474,"9",2,"2025may19","grande","1","012"
4748.08003,255,0,255,255,514.1474,73.73821,436.98819,81.70054,73.99514,173.2894,0.31246,1210760.40785,255,100,57468330,1,1.10413,0.90569,0.84667,"1",159,"2025may19","grande","1","013"
163.42686,255,0,255,255,223.36694,44.25268,51.8709,16.02584,12.98413,122.50056,0.76328,41673.84825,255,100,1978035,1,1.23426,0.8102,0.93797,"2",3,"2025may19","grande","1","013"
153.37727,255,0,255,255,34.21381,146.784,66.20472,18.11462,10.78058,126.31526,0.43974,39111.20475,255,100,1856400,1,1.6803,0.59513,0.81482,"3",2,"2025may19","grande","1","013"
65.8806,255,0,255,255,598.37479,191.72349,34.76038,12.22279,6.86273,2.15639,0.68517,16799.55182,255,100,797385,1,1.78104,0.56147,0.911,"4",2,"2025may19","grande","1","013"
9752.41388,255,0,255,255,212.02734,391.9979,683.77585,120.97556,102.64188,39.3337,0.26212,2486865.53868,255,100,118038225,1,1.17862,0.84845,0.83917,"5",364,"2025may19","grande","1","013"
142.92739,255,0,255,255,268.16432,436.3933,61.09355,15.96987,11.39526,14.23971,0.48121,36446.4853,255,100,1729920,1,1.40145,0.71355,0.81027,"6",2,"2025may19","grande","1","013"
107.86973,255,0,255,255,194.76706,455.168,45.22925,15.17253,9.05215,151.02857,0.66263,27506.78136,255,100,1305600,1,1.67613,0.59661,0.91404,"7",2,"2025may19","grande","1","013"
125.27215,255,0,255,255,248.97641,70.10609,53.93821,15.21367,10.48409,81.79523,0.54109,31944.39882,255,100,1516230,1,1.45112,0.68912,0.87281,"1",2,"2025may19","grande","1","014"
